tier	label	repo	kind	oracle_priority	corpus_priority	source	status	curation_score	code_hit_count	stars	html_url	positive_reasons	negative_reasons
tier2	lofilabo-zoe-true-language	lofilabo/zoe-true-language	corpus	P3	P2	github-language-lolcode-curated-2026-03-12	curated-discovered	56	42	0	https://github.com/lofilabo/zoe-true-language	path-test-or-example-signal,path-lol-extension-signal	
tier2	jynnantonix-lolcode	jynnantonix/lolcode	corpus	P3	P2	github-language-lolcode-curated-2026-03-12	curated-discovered	52	20	0	https://github.com/jynnantonix/lolcode	repo-name-lolcode-signal,path-test-or-example-signal,path-lol-extension-signal	
tier2	mldamalerio-lolcode-interpreter	mldamalerio/LOLCODE-Interpreter	interpreter	P2	P2	github-language-lolcode-curated-2026-03-12	curated-discovered	43	3	0	https://github.com/mldamalerio/LOLCODE-Interpreter	repo-name-lolcode-signal,repo-name-impl-signal,path-test-or-example-signal,path-lol-extension-signal	
tier2	roxanneypr-lolcode-interpreter	roxanneypr/LolCode-interpreter	interpreter	P2	P2	github-language-lolcode-curated-2026-03-12	curated-discovered	43	3	0	https://github.com/roxanneypr/LolCode-interpreter	repo-name-lolcode-signal,repo-name-impl-signal,path-test-or-example-signal,path-lol-extension-signal	
tier2	lolcodepp-lci	lolcodepp/lci	corpus	P3	P2	github-language-lolcode-curated-2026-03-12	curated-discovered	42	10	0	https://github.com/lolcodepp/lci	repo-name-lolcode-signal,path-test-or-example-signal,path-lol-extension-signal	
tier2	redcapital-layo	redcapital/layo	corpus	P3	P2	github-language-lolcode-curated-2026-03-12	curated-discovered	42	10	0	https://github.com/redcapital/layo	repo-name-lolcode-signal,path-test-or-example-signal,path-lol-extension-signal	
tier2	camanzanido-lolcode-interpreter	camanzanido/LOLCODE-Interpreter	interpreter	P2	P2	github-language-lolcode-curated-2026-03-12	curated-discovered	42	2	0	https://github.com/camanzanido/LOLCODE-Interpreter	repo-name-lolcode-signal,repo-name-impl-signal,path-test-or-example-signal,path-lol-extension-signal	
tier2	rdohms-lolcode-parser	rdohms/lolcode-parser	interpreter	P2	P2	github-language-lolcode-curated-2026-03-12	curated-discovered	42	2	0	https://github.com/rdohms/lolcode-parser	repo-name-lolcode-signal,repo-name-impl-signal,path-test-or-example-signal,path-lol-extension-signal	
tier2	abcd-rgb-lolcode-interpreter	ABCD-rgb/lolcode-interpreter	interpreter	P2	P2	github-language-lolcode-curated-2026-03-12	curated-discovered	41	1	0	https://github.com/ABCD-rgb/lolcode-interpreter	repo-name-lolcode-signal,repo-name-impl-signal,path-test-or-example-signal,path-lol-extension-signal	
tier2	ebrahimgabriel-lolcode-interpreter	EbrahimGabriel/lolcode-interpreter	interpreter	P2	P2	github-language-lolcode-curated-2026-03-12	curated-discovered	41	1	0	https://github.com/EbrahimGabriel/lolcode-interpreter	repo-name-lolcode-signal,repo-name-impl-signal,path-test-or-example-signal,path-lol-extension-signal	
tier2	krispypatata-lolcode-interpreter-py	krispypatata/lolcode-interpreter-py	interpreter	P2	P2	github-language-lolcode-curated-2026-03-12	curated-discovered	41	1	0	https://github.com/krispypatata/lolcode-interpreter-py	repo-name-lolcode-signal,repo-name-impl-signal,path-test-or-example-signal,path-lol-extension-signal	
tier2	darylldan-lolcode-testcases	darylldan/lolcode-testcases	corpus	P3	P2	github-language-lolcode-curated-2026-03-12	curated-discovered	37	5	0	https://github.com/darylldan/lolcode-testcases	repo-name-lolcode-signal,path-test-or-example-signal,path-lol-extension-signal	
tier2	jocelyne8-lolcode	jocelyne8/lolcode	corpus	P3	P2	github-language-lolcode-curated-2026-03-12	curated-discovered	35	9	4	https://github.com/jocelyne8/lolcode	repo-name-lolcode-signal,path-lol-extension-signal	
tier2	belkadan-lolcode-rb	belkadan/lolcode-rb	corpus	P3	P2	github-language-lolcode-curated-2026-03-12	curated-discovered	35	3	0	https://github.com/belkadan/lolcode-rb	repo-name-lolcode-signal,path-test-or-example-signal,path-lol-extension-signal	
tier2	simark-lolc	simark/lolc	corpus	P3	P2	github-language-lolcode-curated-2026-03-12	curated-discovered	35	3	0	https://github.com/simark/lolc	repo-name-lolcode-signal,path-test-or-example-signal,path-lol-extension-signal	
tier2	tedneward-lolcomp	tedneward/lolcomp	corpus	P3	P2	github-language-lolcode-curated-2026-03-12	curated-discovered	35	3	0	https://github.com/tedneward/lolcomp	repo-name-lolcode-signal,path-test-or-example-signal,path-lol-extension-signal	
tier2	scinscinscin-compiler-design	scinscinscin/compiler-design	interpreter	P2	P2	github-language-lolcode-curated-2026-03-12	curated-discovered	34	20	0	https://github.com/scinscinscin/compiler-design	repo-name-impl-signal,path-lol-extension-signal	
tier2	monlih-lulz	MonliH/lulz	corpus	P3	P2	github-language-lolcode-curated-2026-03-12	curated-discovered	34	10	0	https://github.com/MonliH/lulz	repo-name-lolcode-signal,path-lol-extension-signal	
tier2	charlestabuzo-lolcode-interpreter	CharlesTabuzo/LOLCODE-interpreter	interpreter	P2	P2	github-language-lolcode-curated-2026-03-12	curated-discovered	34	2	0	https://github.com/CharlesTabuzo/LOLCODE-interpreter	repo-name-lolcode-signal,repo-name-impl-signal,path-lol-extension-signal	
tier2	theoistic-lolcode-dot-net	Theoistic/lolcode-dot-net	corpus	P3	P2	github-language-lolcode-curated-2026-03-12	curated-discovered	34	2	0	https://github.com/Theoistic/lolcode-dot-net	repo-name-lolcode-signal,path-test-or-example-signal,path-lol-extension-signal	
tier2	chunlea-lolcode-dot-net	chunlea/lolcode-dot-net	corpus	P3	P2	github-language-lolcode-curated-2026-03-12	curated-discovered	34	2	0	https://github.com/chunlea/lolcode-dot-net	repo-name-lolcode-signal,path-test-or-example-signal,path-lol-extension-signal	
tier2	gitsly-lolcode-dot-net	gitsly/lolcode-dot-net	corpus	P3	P2	github-language-lolcode-curated-2026-03-12	curated-discovered	34	2	0	https://github.com/gitsly/lolcode-dot-net	repo-name-lolcode-signal,path-test-or-example-signal,path-lol-extension-signal	
tier2	mattleibow-lolcode-dot-net	mattleibow/lolcode-dot-net	corpus	P3	P2	github-language-lolcode-curated-2026-03-12	curated-discovered	34	2	0	https://github.com/mattleibow/lolcode-dot-net	repo-name-lolcode-signal,path-test-or-example-signal,path-lol-extension-signal	
tier2	mutcianm-lolcodec	mutcianm/lolcodec	corpus	P3	P2	github-language-lolcode-curated-2026-03-12	curated-discovered	34	2	0	https://github.com/mutcianm/lolcodec	repo-name-lolcode-signal,path-test-or-example-signal,path-lol-extension-signal	
tier2	unycorn-lolcode-dot-net	unycorn/lolcode-dot-net	corpus	P3	P2	github-language-lolcode-curated-2026-03-12	curated-discovered	34	2	0	https://github.com/unycorn/lolcode-dot-net	repo-name-lolcode-signal,path-test-or-example-signal,path-lol-extension-signal	
tier2	alxzdani-lolcode-interpreter-cocoy-dani-kyro	alxzdani/LOLCODE-interpreter-cocoy-dani-kyro	interpreter	P2	P2	github-language-lolcode-curated-2026-03-12	curated-discovered	33	1	0	https://github.com/alxzdani/LOLCODE-interpreter-cocoy-dani-kyro	repo-name-lolcode-signal,repo-name-impl-signal,path-lol-extension-signal	
tier2	jerichodolendo-lolcode-interpreter	jerichodolendo/lolcode-interpreter	interpreter	P2	P2	github-language-lolcode-curated-2026-03-12	curated-discovered	33	1	0	https://github.com/jerichodolendo/lolcode-interpreter	repo-name-lolcode-signal,repo-name-impl-signal,path-lol-extension-signal	
tier2	klenndacoder69-lolcode-project-124	klenndacoder69/lolcode-project-124	corpus	P3	P2	github-language-lolcode-curated-2026-03-12	curated-discovered	33	1	0	https://github.com/klenndacoder69/lolcode-project-124	repo-name-lolcode-signal,path-test-or-example-signal,path-lol-extension-signal	
tier2	nadineanareta-lolcode-interpreter	nadineanareta/lolcode-interpreter	interpreter	P2	P2	github-language-lolcode-curated-2026-03-12	curated-discovered	33	1	0	https://github.com/nadineanareta/lolcode-interpreter	repo-name-lolcode-signal,repo-name-impl-signal,path-lol-extension-signal	
tier2	lofilabo-zoe-experiment-1	lofilabo/zoe_experiment_1	corpus	P3	P2	github-language-lolcode-curated-2026-03-12	curated-discovered	30	16	0	https://github.com/lofilabo/zoe_experiment_1	path-test-or-example-signal,path-lol-extension-signal	
tier2	chutasano-lolcode	chutasano/lolcode	corpus	P3	P2	github-language-lolcode-curated-2026-03-12	curated-discovered	29	3	2	https://github.com/chutasano/lolcode	repo-name-lolcode-signal,path-lol-extension-signal	
tier2	nikitagrygoriev-lolcode-compiler	nikitagrygoriev/LOLCODE_Compiler	interpreter	P2	P2	github-language-lolcode-curated-2026-03-12	curated-discovered	28	6	0	https://github.com/nikitagrygoriev/LOLCODE_Compiler	repo-name-impl-signal,path-test-or-example-signal,path-lol-extension-signal	
tier2	jwdpanganiban-lolterpreter	jwdpanganiban/lolterpreter	corpus	P3	P2	github-language-lolcode-curated-2026-03-12	curated-discovered	28	4	0	https://github.com/jwdpanganiban/lolterpreter	repo-name-lolcode-signal,path-lol-extension-signal	
tier2	kimbsy-lolcode	Kimbsy/lolcode	corpus	P3	P2	github-language-lolcode-curated-2026-03-12	curated-discovered	28	2	7	https://github.com/Kimbsy/lolcode	repo-name-lolcode-signal,path-lol-extension-signal	
tier2	hogarddelauger-lolcode-equation-solver	HogardDeLauger/lolcode-equation-solver	corpus	P3	P2	github-language-lolcode-curated-2026-03-12	curated-discovered	27	1	5	https://github.com/HogardDeLauger/lolcode-equation-solver	repo-name-lolcode-signal,path-lol-extension-signal	
tier2	justinmeza-lollm	justinmeza/lollm	corpus	P3	P2	github-language-lolcode-curated-2026-03-12	curated-discovered	27	1	3	https://github.com/justinmeza/lollm	repo-name-lolcode-signal,path-lol-extension-signal	
tier2	mathisneunzig-lolcode	mathisneunzig/LOLCODE	corpus	P3	P2	github-language-lolcode-curated-2026-03-12	curated-discovered	27	1	1	https://github.com/mathisneunzig/LOLCODE	repo-name-lolcode-signal,path-lol-extension-signal	
tier2	ajlyde-lolcode	Ajlyde/LOLCODE	corpus	P3	P2	github-language-lolcode-curated-2026-03-12	curated-discovered	26	2	0	https://github.com/Ajlyde/LOLCODE	repo-name-lolcode-signal,path-lol-extension-signal	
tier2	mreifer1-rust-lolcode-compiler	mreifer1/RUST_LOLCODE_COMPILER	interpreter	P2	P2	github-language-lolcode-curated-2026-03-12	curated-discovered	25	3	0	https://github.com/mreifer1/RUST_LOLCODE_COMPILER	repo-name-impl-signal,path-test-or-example-signal,path-lol-extension-signal	
tier2	blongden-lolcode-php	blongden/lolcode-php	corpus	P3	P2	github-language-lolcode-curated-2026-03-12	curated-discovered	25	1	0	https://github.com/blongden/lolcode-php	repo-name-lolcode-signal,path-lol-extension-signal	
tier2	tashrique-lolcode-the-williams-frosh-game	tashrique/LOLCODE-The-Williams-Frosh-Game	corpus	P3	P2	github-language-lolcode-curated-2026-03-12	curated-discovered	25	1	0	https://github.com/tashrique/LOLCODE-The-Williams-Frosh-Game	repo-name-lolcode-signal,path-lol-extension-signal	
tier2	williambl-lolcode-matrix-multiplier	williambl/lolcode-matrix-multiplier	corpus	P3	P2	github-language-lolcode-curated-2026-03-12	curated-discovered	25	1	0	https://github.com/williambl/lolcode-matrix-multiplier	repo-name-lolcode-signal,path-lol-extension-signal	
tier2	jtvallente-cmsc124-project	jtvallente/CMSC124-Project	corpus	P3	P2	github-language-lolcode-curated-2026-03-12	curated-discovered	24	10	0	https://github.com/jtvallente/CMSC124-Project	path-test-or-example-signal,path-lol-extension-signal	
tier2	danie-a-cmsc124-project-lolcode-interpreter	Danie-A/CMSC124_Project_LolCode_Interpreter	interpreter	P2	P2	github-language-lolcode-curated-2026-03-12	curated-discovered	22	8	0	https://github.com/Danie-A/CMSC124_Project_LolCode_Interpreter	repo-name-impl-signal,path-lol-extension-signal	
tier2	seanpm2001-snu-2d-programmingtools-ide-lolcode	seanpm2001/SNU_2D_ProgrammingTools_IDE_LOLCODE	corpus	P3	P2	github-language-lolcode-curated-2026-03-12	curated-discovered	22	6	2	https://github.com/seanpm2001/SNU_2D_ProgrammingTools_IDE_LOLCODE	path-test-or-example-signal,path-lol-extension-signal	
tier2	parrot-lolcode	parrot/lolcode	corpus	P3	P2	github-language-lolcode-curated-2026-03-12	curated-discovered	21	3	0	https://github.com/parrot/lolcode	repo-name-lolcode-signal	
tier2	niladriranjandas-dreamv2	niladriranjandas/DREAMv2	corpus	P3	P2	github-language-lolcode-curated-2026-03-12	curated-discovered	19	31	0	https://github.com/niladriranjandas/DREAMv2	path-lol-extension-signal	path-noise-signal
tier2	nautilus-institute-quals-2023	Nautilus-Institute/quals-2023	corpus	P3	P2	github-language-lolcode-curated-2026-03-12	curated-discovered	18	4	0	https://github.com/Nautilus-Institute/quals-2023	path-test-or-example-signal,path-lol-extension-signal	
tier2	browndeer-lcc	browndeer/lcc	corpus	P3	P2	github-language-lolcode-curated-2026-03-12	curated-discovered	18	4	0	https://github.com/browndeer/lcc	path-test-or-example-signal,path-lol-extension-signal	
tier2	pmonks-clj-lolcode	pmonks/clj-lolcode	corpus	P3	P2	github-language-lolcode-curated-2026-03-12	curated-discovered	18	4	0	https://github.com/pmonks/clj-lolcode	path-test-or-example-signal,path-lol-extension-signal	
